review_text,star_rating,date,app_version,sentiment,primary_theme,secondary_theme,summary
fake offers they lowered the prices than stopped the application from working,1,2026-05-21,13.59.0,Negative,App UX / Navigation,App Crashes / Bugs,"User dissatisfied, mentions app ux / navigation"
talabat became a very cheap app. Do not trust it if you are with the limited amount of money or at midnight place the order.,1,2026-05-21,13.59.0,Negative,App UX / Navigation,Delivery ETA Accuracy,"User dissatisfied, mentions app ux / navigation"
اوحش ابلكيشن توصيل استخدمته بجد عالم حراميه و إدارة زفت و خدمة زفت,1,2026-05-21,13.59.0,Negative,Other,,"User dissatisfied, mentions other"
They deducted money from me twice just to activate the Visa card.,1,2026-05-21,13.58.0,Negative,Payment Issues,,User encountered problems with payment processing
They mislead you with the offers and discounts and thr moment you try checking out they increase the price. Deceiving sadly😞,1,2026-05-21,,Negative,Pricing / Promotions,,User dissatisfied with pricing or promo codes not working
حرامية عيني عينك وبيسرقوا فلوس عن طريق طلبات برو,1,2026-05-21,13.59.0,Negative,Other,Pricing / Promotions,"User dissatisfied, mentions other"
"Worst customer service experience. I placed an order on 3rd May, received incomplete and damaged items, and after 17+ days I still have not received my refund. Every time I contact support, I get the same copy-paste response with a new waiting time. Now I’m being told to wait until 27th May. Extremely disappointing service and no proper accountability. Please be careful before trusting Talabat support.",1,2026-05-21,13.57.0,Negative,Delivery Speed,,User frustrated with slow delivery times
forced to use credit with visa,1,2026-05-21,13.55.0,Negative,Payment Issues,General Praise,User encountered problems with payment processing
تجربة سيئة جدا وتأخير في الاوردر,1,2026-05-20,13.59.0,Negative,Other,,"User dissatisfied, mentions other"
"I have recently made an order and it came short quite abit of items, i contacted support, and the response is: ""sorry here is tiny little amount of cash instead if all the items you didnt get"" they didnt contact the restaurant, they refuse to explain why my order is missing items. it seems their drivers steal food as well. stay away so you dont get scammed.",1,2026-05-20,13.43.1,Negative,App UX / Navigation,Customer Support,"User dissatisfied, mentions app ux / navigation"
good price and nice service,5,2026-05-20,13.58.0,Positive,Customer Support,General Praise,User satisfied with the service
worst application.always delay,1,2026-05-20,13.58.0,Negative,Delivery Speed,General Praise,User frustrated with slow delivery times
"Worst ever, worst management",1,2026-05-20,13.58.0,Negative,Other,,"User dissatisfied, mentions other"
Markup on Restaurants prices are way too much!!,1,2026-05-20,13.59.0,Neutral,Pricing / Promotions,,User left mixed or neutral feedback
"It's really bad to use the app for many years since it was called ""Otlob"", and by 2020 when it became ""Talabat"", and instead of feeling real improvements, silly issues started to appear. The most annoying for me Right now and which doesn't make any sense that an app. like that has limited payment methods (bank cards & cash only)? For example I'm not able to use my digital wallet or even fawry pay or any other method to pay for an order or pro subsc., please fix. It's pretty simple, isn't it?",1,2026-05-20,13.59.0,Negative,App UX / Navigation,App Crashes / Bugs,"User dissatisfied, mentions app ux / navigation"
الخدمه سيئه و الحاجه بتوصل غلط و مبيضوش يرجعوا الفلوس,1,2026-05-20,13.58.0,Negative,Other,,"User dissatisfied, mentions other"
خدمات سيئة .. سائقون وقحون و غير مهذبين و لا لبقين مركز خدمات لا يتجاوب مع ملاحظات العملاء سأتوقف عن التعامل مع هذه الشركة و أنصح بالشيء نفسه,1,2026-05-20,13.59.0,Negative,Other,Delivery Speed,"User dissatisfied, mentions other"
Need more products on Talabat,5,2026-05-20,13.58.0,Neutral,Other,Restaurant Selection,User left general feedback without strong sentiment
